id,date,region,temperature_min,temperature_max,precipitation_mm,humidite_relative,vitesse_vent_kmh,direction_vent,pression_hpa,insolation_h
72,2021-01-15,Nord,24.5,44.4,3.9,31,15.0,NE,1018.6,10.7
73,2021-01-15,Est,23.5,42.8,0.7,39,13.2,N,1017.3,12.0
74,2021-01-15,Sahel,26.1,47.0,0.0,29,20.8,N,1016.2,12.0
75,2021-01-15,Sud-Ouest,18.2,41.0,0.0,47,7.8,E,1017.7,12.0
76,2021-01-16,Centre,24.0,44.6,2.7,34,18.5,E,1017.7,10.9
77,2021-01-16,Nord,23.7,43.6,3.9,32,14.9,NE,1018.3,12.0
78,2021-01-16,Est,22.7,46.0,4.8,36,7.9,E,1016.2,12.0
79,2021-01-16,Sahel,25.5,43.8,4.1,28,24.2,NE,1020.0,12.0
80,2021-01-16,Sud-Ouest,22.0,42.7,1.3,47,16.5,NE,1012.8,11.7
81,2021-01-17,Centre,23.0,40.2,0.0,38,23.4,E,1016.9,11.7
82,2021-01-17,Nord,26.7,41.8,0.0,31,20.2,E,1019.0,11.6
83,2021-01-17,Est,25.2,45.5,0.0,30,10.3,N,1011.0,11.2
84,2021-01-17,Sahel,23.6,47.9,2.3,27,20.9,NE,1010.8,11.2
85,2021-01-17,Sud-Ouest,19.6,41.6,2.0,49,22.1,N,1012.4,11.7
86,2021-01-18,Centre,24.1,43.1,2.1,42,15.8,N,1016.8,10.9
87,2021-01-18,Nord,24.5,40.6,1.7,35,12.1,NE,1017.3,11.9
88,2021-01-18,Est,21.8,40.5,2.3,38,9.1,N,1013.9,12.0
89,2021-01-18,Sahel,25.6,46.9,1.9,28,17.8,E,1020.0,11.1
90,2021-01-18,Sud-Ouest,22.6,42.0,3.6,48,8.3,E,1014.0,11.4
91,2021-01-19,Centre,21.8,44.0,0.0,41,13.4,N,1015.4,12.0
92,2021-01-19,Nord,24.9,47.4,2.6,35,17.6,N,1015.4,10.5
93,2021-01-19,Est,22.9,41.5,0.0,35,19.3,N,1020.0,12.0
94,2021-01-19,Sahel,28.3,49.4,1.4,27,6.6,N,1017.6,11.7
95,2021-01-19,Sud-Ouest,20.0,43.4,2.7,44,22.8,E,1015.2,12.0
96,2021-01-20,Centre,26.3,42.0,2.2,42,15.6,NE,1012.5,11.0
97,2021-01-20,Nord,23.4,45.1,1.2,32,16.9,N,1014.2,10.6
98,2021-01-20,Est,23.4,39.8,0.0,40,15.3,E,1019.3,11.3
99,2021-01-20,Sahel,27.5,47.7,3.7,29,18.2,E,1010.6,9.9
100,2021-01-20,Sud-Ouest,20.5,42.5,1.1,46,25.0,NE,1010.2,10.4
101,2021-01-21,Centre,22.1,45.0,0.0,40,12.8,NE,1012.6,10.5
102,2021-01-21,Nord,27.4,43.1,4.3,30,16.6,E,1014.9,11.9
103,2021-01-21,Est,24.0,43.1,1.7,34,7.6,N,1020.0,11.3
104,2021-01-21,Sahel,24.3,44.1,0.4,31,10.2,NE,1013.0,10.7
105,2021-01-21,Sud-Ouest,22.5,40.4,4.0,48,7.4,N,1017.5,10.7
106,2021-01-22,Centre,22.8,43.2,0.0,40,24.8,N,1014.1,10.5
107,2021-01-22,Nord,24.4,43.0,0.3,31,6.2,E,1017.4,11.5
108,2021-01-22,Est,25.0,44.1,1.6,35,24.9,N,1014.3,11.9
109,2021-01-22,Sahel,25.8,50.7,0.0,28,19.4,E,1015.1,12.0
110,2021-01-22,Sud-Ouest,20.2,40.9,6.4,58,9.4,E,1018.1,12.0
111,2021-01-23,Centre,22.1,43.0,1.9,35,14.9,NE,1018.5,11.0
112,2021-01-23,Nord,26.6,43.9,1.6,31,18.7,N,1016.1,11.9
113,2021-01-23,Est,22.6,40.3,2.3,41,10.2,E,1014.6,12.0
114,2021-01-23,Sahel,26.6,46.4,0.4,26,18.5,N,1011.2,11.7
115,2021-01-23,Sud-Ouest,20.9,41.3,4.0,51,17.8,NE,1016.0,10.9
116,2021-01-24,Centre,24.8,44.9,3.9,38,13.1,E,1016.7,10.8
117,2021-01-24,Nord,27.2,44.8,6.2,31,18.9,NE,1012.8,9.7
118,2021-01-24,Est,20.9,42.7,0.0,40,25.0,NE,1011.8,11.0
119,2021-01-24,Sahel,26.7,43.9,3.5,24,23.6,E,1012.8,12.0
120,2021-01-24,Sud-Ouest,20.5,38.1,3.1,49,9.3,E,1015.7,12.0
121,2021-01-25,Centre,23.8,45.0,3.1,37,10.2,NE,1015.3,10.2
122,2021-01-25,Nord,24.9,44.2,3.0,32,12.6,N,1016.1,12.0
123,2021-01-25,Est,22.3,40.7,1.8,39,7.7,N,1016.7,9.8
124,2021-01-25,Sahel,26.0,45.0,2.0,27,12.4,E,1018.1,9.8
125,2021-01-25,Sud-Ouest,24.0,42.3,0.0,52,25.0,NE,1014.9,10.7
126,2021-01-26,Centre,21.6,44.9,0.8,38,6.4,N,1010.4,10.3
127,2021-01-26,Nord,25.9,43.3,0.9,28,5.0,NE,1012.0,11.0
128,2021-01-26,Est,22.5,44.9,1.2,34,17.6,N,1012.2,12.0
129,2021-01-26,Sahel,26.1,45.0,0.4,23,23.8,E,1013.2,12.0
130,2021-01-26,Sud-Ouest,21.4,43.4,2.7,46,18.8,NE,1015.5,10.4
131,2021-01-27,Centre,23.8,42.2,4.9,37,17.4,NE,1017.7,12.0
132,2021-01-27,Nord,26.5,45.3,0.0,31,19.7,N,1012.6,11.5
133,2021-01-27,Est,25.4,44.3,6.1,40,25.0,NE,1016.1,12.0
134,2021-01-27,Sahel,25.2,45.3,2.5,29,15.2,E,1016.8,10.2
135,2021-01-27,Sud-Ouest,20.8,45.2,0.0,42,19.1,E,1020.0,12.0
136,2021-01-28,Centre,19.6,45.3,0.0,40,16.9,NE,1020.0,10.6
137,2021-01-28,Nord,25.8,41.7,1.2,36,15.7,N,1011.8,11.2
138,2021-01-28,Est,25.8,46.8,1.5,39,25.0,NE,1016.1,11.6
139,2021-01-28,Sahel,25.6,42.0,0.0,31,22.2,N,1019.2,11.3
140,2021-01-28,Sud-Ouest,20.0,40.4,2.1,50,9.9,E,1013.9,11.5
141,2021-01-29,Centre,23.2,46.9,0.8,44,13.1,NE,1017.8,10.8
142,2021-01-29,Nord,26.9,47.3,4.5,31,17.6,E,1010.4,10.9
143,2021-01-29,Est,23.5,39.7,0.0,40,15.7,N,1010.9,11.3
144,2021-01-29,Sahel,27.0,49.0,1.0,26,19.2,NE,1017.2,10.9
145,2021-01-29,Sud-Ouest,20.4,37.8,4.9,51,15.9,N,1017.8,10.7
146,2021-01-30,Centre,24.6,44.2,3.0,40,8.9,NE,1014.1,11.5
147,2021-01-30,Nord,24.6,43.5,0.5,32,19.0,N,1015.1,11.0
148,2021-01-30,Est,22.9,45.1,3.0,35,10.5,NE,1011.2,10.1
149,2021-01-30,Sahel,26.1,43.9,1.5,30,6.4,N,1010.8,11.0
150,2021-01-30,Sud-Ouest,22.3,39.7,1.2,43,25.0,E,1011.7,12.0
151,2021-01-31,Centre,24.1,42.2,2.8,41,22.8,N,1017.7,11.1
152,2021-01-31,Nord,26.5,44.7,4.6,30,10.2,E,1010.3,10.7
153,2021-01-31,Est,21.4,46.2,3.4,37,16.2,N,1019.5,12.0
154,2021-01-31,Sahel,27.4,46.2,0.6,26,5.0,E,1020.0,11.3
155,2021-01-31,Sud-Ouest,22.3,42.6,0.1,48,14.9,N,1010.0,11.2
156,2021-02-01,Centre,23.8,44.9,0.0,40,20.6,NE,1017.2,11.4
157,2021-02-01,Nord,24.6,46.6,0.0,33,25.0,NE,1020.0,9.0
158,2021-02-01,Est,23.4,44.4,0.0,39,12.1,NE,1017.7,12.0
159,2021-02-01,Sahel,25.2,43.2,0.0,27,9.9,N,1010.0,12.0
160,2021-02-01,Sud-Ouest,19.1,42.4,1.8,46,20.0,N,1014.3,11.5
161,2021-02-02,Centre,25.5,40.4,3.5,41,13.8,N,1012.6,12.0
162,2021-02-02,Nord,23.8,45.9,0.0,33,13.9,N,1020.0,12.0
163,2021-02-02,Est,24.1,41.7,4.2,33,10.8,N,1012.1,11.9
164,2021-02-02,Sahel,26.3,47.8,3.3,27,6.7,E,1014.4,11.8
165,2021-02-02,Sud-Ouest,22.2,42.5,0.7,47,13.4,NE,1014.3,11.0
166,2021-02-03,Centre,23.6,42.3,0.0,40,18.2,N,1017.4,12.0
167,2021-02-03,Nord,25.3,42.8,2.2,31,15.3,N,1010.0,11.3
168,2021-02-03,Est,25.6,44.0,0.0,39,22.4,E,1014.2,10.7
169,2021-02-03,Sahel,28.2,43.1,0.0,26,11.1,N,1013.2,11.6
170,2021-02-03,Sud-Ouest,23.9,40.1,4.6,45,6.7,NE,1012.9,10.9
171,2021-02-04,Centre,24.4,41.7,3.3,40,16.6,E,1013.5,11.8
172,2021-02-04,Nord,26.8,47.5,1.5,27,20.5,E,1020.0,11.3
173,2021-02-04,Est,23.8,45.5,1.7,41,19.4,N,1015.7,9.9
174,2021-02-04,Sahel,26.4,47.2,3.5,26,15.4,N,1014.4,10.8
175,2021-02-04,Sud-Ouest,20.5,39.6,0.0,47,19.8,NE,1011.0,9.2
176,2021-02-05,Centre,22.2,45.0,0.0,46,17.6,E,1010.0,10.2
177,2021-02-05,Nord,26.9,46.3,0.0,32,11.5,E,1017.7,9.3
178,2021-02-05,Est,21.4,45.9,1.6,32,25.0,N,1015.8,11.8
179,2021-02-05,Sahel,25.8,39.1,1.2,31,21.1,NE,1015.8,11.2
180,2021-02-05,Sud-Ouest,22.5,41.2,2.9,50,15.7,NE,1012.4,12.0
181,2021-02-06,Centre,21.2,44.5,3.5,34,7.5,NE,1018.2,11.7
182,2021-02-06,Nord,27.8,47.0,6.1,33,25.0,NE,1012.1,11.5
183,2021-02-06,Est,26.7,47.2,3.3,38,15.8,N,1012.9,12.0
184,2021-02-06,Sahel,28.3,46.3,0.0,32,22.7,NE,1011.3,10.7
185,2021-02-06,Sud-Ouest,18.4,39.0,0.0,48,5.8,N,1013.3,10.8
186,2021-02-07,Centre,24.7,43.3,0.0,42,9.8,E,1011.8,12.0
187,2021-02-07,Nord,25.7,46.0,0.4,33,21.6,N,1014.7,12.0
188,2021-02-07,Est,24.0,44.3,2.5,35,9.9,E,1015.9,11.6
189,2021-02-07,Sahel,26.6,48.5,1.2,30,19.6,N,1015.0,12.0
190,2021-02-07,Sud-Ouest,21.8,38.8,0.5,46,10.4,E,1018.3,11.4
191,2021-02-08,Centre,20.3,39.2,0.7,39,5.0,NE,1010.0,11.7
192,2021-02-08,Nord,25.7,47.6,3.6,34,20.3,N,1017.4,12.0
193,2021-02-08,Est,24.6,44.4,2.9,42,19.2,N,1011.9,12.0
194,2021-02-08,Sahel,26.2,45.5,0.0,29,17.7,NE,1016.9,11.6
195,2021-02-08,Sud-Ouest,20.9,39.7,2.4,51,20.6,NE,1015.3,11.0
196,2021-02-09,Centre,24.1,39.5,0.0,39,23.9,NE,1010.0,11.0
197,2021-02-09,Nord,24.0,48.6,1.8,37,25.0,NE,1010.2,11.8
198,2021-02-09,Est,24.6,44.2,0.5,43,14.1,N,1017.3,11.8
199,2021-02-09,Sahel,24.7,49.9,0.2,29,20.6,E,1012.5,11.9
200,2021-02-09,Sud-Ouest,23.1,38.6,0.0,49,18.5,N,1012.8,12.0
201,2021-02-10,Centre,22.6,41.9,1.6,37,18.0,E,1012.7,11.3
202,2021-02-10,Nord,24.6,43.5,0.0,33,21.9,NE,1015.5,11.4
203,2021-02-10,Est,23.5,41.7,2.2,36,22.0,N,1015.4,9.7
204,2021-02-10,Sahel,25.8,46.6,1.7,32,17.7,NE,1018.5,10.8
205,2021-02-10,Sud-Ouest,21.9,45.7,4.1,45,18.6,N,1017.9,12.0
206,2021-02-11,Centre,25.4,44.5,3.8,43,5.1,NE,1017.4,11.3
207,2021-02-11,Nord,25.6,43.0,0.3,27,17.3,N,1014.7,10.5
208,2021-02-11,Est,23.5,45.2,2.9,43,8.0,E,1013.9,11.1
209,2021-02-11,Sahel,25.1,46.5,0.0,22,18.1,NE,1013.3,10.5
210,2021-02-11,Sud-Ouest,20.7,41.8,0.0,50,15.6,NE,1012.6,9.6
211,2021-02-12,Centre,23.4,45.0,1.2,43,11.1,NE,1017.5,12.0
212,2021-02-12,Nord,23.9,44.1,1.2,26,8.2,N,1015.7,9.5
213,2021-02-12,Est,23.5,40.2,1.5,40,10.8,N,1016.5,11.9
214,2021-02-12,Sahel,24.9,47.4,2.1,26,5.0,E,1016.1,11.5
215,2021-02-12,Sud-Ouest,20.3,41.9,2.9,52,5.0,NE,1013.1,10.2
216,2021-02-13,Centre,24.3,42.4,0.0,39,5.0,E,1019.3,11.4
217,2021-02-13,Nord,24.6,44.5,4.4,34,14.1,NE,1016.9,10.9
218,2021-02-13,Est,25.0,44.0,4.0,38,9.1,NE,1012.5,11.1
219,2021-02-13,Sahel,23.6,48.4,1.1,29,15.4,NE,1012.2,12.0
220,2021-02-13,Sud-Ouest,20.4,41.6,0.5,48,14.5,N,1011.8,12.0
221,2021-02-14,Centre,23.7,43.6,3.1,39,24.3,E,1012.2,12.0
222,2021-02-14,Nord,24.0,45.5,2.9,30,11.4,E,1016.7,10.2
223,2021-02-14,Est,20.4,41.6,1.7,40,17.5,N,1015.5,11.5
224,2021-02-14,Sahel,28.1,46.3,0.0,28,7.6,NE,1012.0,12.0
225,2021-02-14,Sud-Ouest,20.0,39.5,5.2,48,12.5,NE,1016.2,12.0
226,2021-02-15,Centre,22.2,43.0,1.9,41,19.5,E,1015.0,11.3
227,2021-02-15,Nord,25.8,45.6,3.1,31,8.8,N,1014.7,11.2
228,2021-02-15,Est,23.6,42.5,2.1,36,23.0,E,1019.9,10.9
229,2021-02-15,Sahel,25.0,49.8,0.7,25,6.2,N,1016.1,11.2
230,2021-02-15,Sud-Ouest,21.5,39.8,3.6,46,14.8,E,1020.0,10.1
231,2021-02-16,Centre,24.2,43.3,1.0,41,25.0,N,1015.8,10.1
232,2021-02-16,Nord,23.9,44.3,2.3,30,22.6,NE,1012.0,12.0
233,2021-02-16,Est,24.1,43.7,0.0,35,15.3,NE,1014.0,11.7
234,2021-02-16,Sahel,25.8,43.0,4.6,29,8.4,NE,1016.8,8.5
235,2021-02-16,Sud-Ouest,20.5,41.5,3.9,46,12.7,E,1019.9,7.9
236,2021-02-17,Centre,24.2,38.5,0.9,45,19.8,N,1019.5,10.5
237,2021-02-17,Nord,25.5,43.3,2.1,31,21.2,NE,1016.4,11.7
238,2021-02-17,Est,23.7,41.0,0.0,35,17.4,NE,1018.3,12.0
239,2021-02-17,Sahel,26.4,45.7,0.0,28,23.8,E,1013.6,12.0
240,2021-02-17,Sud-Ouest,21.2,36.1,2.3,48,8.0,NE,1014.5,10.5
241,2021-02-18,Centre,24.7,46.2,5.2,39,25.0,E,1016.5,9.6
242,2021-02-18,Nord,27.2,44.4,1.7,29,14.4,N,1018.4,11.9
243,2021-02-18,Est,21.5,43.2,2.0,32,5.8,N,1019.0,10.9
244,2021-02-18,Sahel,23.8,42.2,3.3,25,11.0,E,1011.0,11.9
245,2021-02-18,Sud-Ouest,20.6,40.5,1.4,50,17.4,NE,1013.3,11.7
246,2021-02-19,Centre,20.9,43.5,2.9,35,10.9,E,1011.7,11.9
247,2021-02-19,Nord,24.8,47.2,2.6,31,12.9,E,1011.4,11.2
248,2021-02-19,Est,21.9,43.5,3.0,37,14.8,NE,1012.4,12.0
249,2021-02-19,Sahel,25.6,44.2,0.2,31,17.2,N,1012.8,10.8
250,2021-02-19,Sud-Ouest,21.2,38.8,0.7,52,10.3,NE,1013.6,12.0
251,2021-02-20,Centre,23.8,45.7,4.0,39,23.9,NE,1013.4,11.5
252,2021-02-20,Nord,24.5,44.3,2.8,34,18.9,N,1016.2,12.0
253,2021-02-20,Est,28.0,40.1,2.0,36,11.9,N,1016.7,11.3
254,2021-02-20,Sahel,26.2,47.8,0.0,32,18.6,NE,1013.9,9.6
255,2021-02-20,Sud-Ouest,20.5,42.5,0.7,45,5.5,E,1020.0,11.2
256,2021-02-21,Centre,23.2,42.1,2.1,40,20.7,N,1010.0,12.0
257,2021-02-21,Nord,27.7,44.0,2.5,36,23.6,E,1015.7,10.0
258,2021-02-21,Est,27.7,42.4,2.9,40,13.9,NE,1010.7,12.0
259,2021-02-21,Sahel,25.4,45.3,2.9,22,20.4,NE,1013.9,11.1
260,2021-02-21,Sud-Ouest,21.2,42.7,0.0,50,12.7,NE,1016.5,11.5
261,2021-02-22,Centre,24.3,42.1,1.9,35,24.7,NE,1013.6,11.7
262,2021-02-22,Nord,27.8,45.8,1.4,34,19.9,NE,1015.7,11.2
263,2021-02-22,Est,22.0,45.4,0.2,33,13.2,N,1016.8,11.8
264,2021-02-22,Sahel,23.8,47.4,2.9,29,11.9,E,1018.7,11.2
265,2021-02-22,Sud-Ouest,20.8,40.3,1.9,52,25.0,N,1011.5,10.4
266,2021-02-23,Centre,22.6,40.7,4.6,37,12.3,E,1015.0,11.9
267,2021-02-23,Nord,25.4,49.3,2.5,26,20.1,E,1015.3,10.7
268,2021-02-23,Est,26.5,43.0,4.4,45,19.7,E,1012.8,11.3
269,2021-02-23,Sahel,26.7,44.7,0.0,32,16.4,NE,1014.1,10.8
270,2021-02-23,Sud-Ouest,21.3,38.7,0.0,47,25.0,E,1012.9,12.0
271,2021-02-24,Centre,23.2,40.4,2.4,40,12.3,E,1016.8,11.8
272,2021-02-24,Nord,27.2,41.2,1.9,31,7.0,N,1014.4,11.3
273,2021-02-24,Est,21.4,39.0,0.0,35,9.4,NE,1015.8,9.9
274,2021-02-24,Sahel,23.2,46.8,0.4,25,11.9,N,1013.4,12.0
275,2021-02-24,Sud-Ouest,20.9,41.0,0.0,43,23.9,N,1015.8,11.1
276,2021-02-25,Centre,21.7,43.1,4.4,39,15.5,N,1018.4,12.0
277,2021-02-25,Nord,27.0,46.2,3.7,29,6.6,NE,1013.9,11.3
278,2021-02-25,Est,22.2,42.9,0.0,36,5.0,N,1015.9,11.2
279,2021-02-25,Sahel,27.5,45.6,0.4,22,13.1,E,1016.5,12.0
280,2021-02-25,Sud-Ouest,18.9,43.7,1.1,43,9.3,NE,1017.8,12.0
281,2021-02-26,Centre,21.6,41.4,6.0,40,21.4,E,1010.0,11.4
282,2021-02-26,Nord,24.3,46.9,0.0,35,22.4,NE,1011.8,11.5
283,2021-02-26,Est,23.6,42.2,3.6,32,18.1,NE,1020.0,11.5
284,2021-02-26,Sahel,26.8,45.0,4.2,34,17.8,N,1018.6,11.8
285,2021-02-26,Sud-Ouest,21.6,39.6,6.7,49,7.3,NE,1020.0,11.6
286,2021-02-27,Centre,20.6,43.6,1.5,43,15.9,N,1012.5,11.5
287,2021-02-27,Nord,25.2,44.7,0.4,35,22.4,E,1016.3,12.0
288,2021-02-27,Est,24.1,47.5,0.0,37,23.2,NE,1014.7,11.8
289,2021-02-27,Sahel,26.2,46.0,2.3,24,14.7,N,1011.0,11.5
290,2021-02-27,Sud-Ouest,19.5,43.8,2.3,47,21.7,NE,1014.5,12.0
291,2021-02-28,Centre,22.0,44.0,2.2,39,5.0,NE,1012.3,12.0
292,2021-02-28,Nord,24.8,44.6,2.8,32,13.3,N,1013.8,12.0
293,2021-02-28,Est,23.9,42.7,2.4,39,11.7,N,1010.4,9.8
294,2021-02-28,Sahel,26.2,50.5,0.0,23,13.7,E,1011.6,11.2
295,2021-02-28,Sud-Ouest,20.2,39.5,1.7,45,11.3,E,1015.2,10.1
296,2021-03-01,Centre,25.8,41.9,0.0,31,11.4,N,1012.6,12.0
297,2021-03-01,Nord,24.4,43.2,2.1,30,25.0,NE,1014.0,12.0
298,2021-03-01,Est,26.2,43.6,1.1,39,9.1,NE,1015.1,12.0
299,2021-03-01,Sahel,27.2,44.8,4.9,27,14.2,N,1015.2,10.5
300,2021-03-01,Sud-Ouest,24.3,38.9,3.4,46,5.6,E,1015.7,10.8
301,2021-03-02,Centre,21.9,41.0,0.0,40,12.4,E,1017.0,11.4
302,2021-03-02,Nord,24.6,42.6,0.5,34,18.3,E,1013.5,9.2
303,2021-03-02,Est,23.8,43.1,0.0,32,17.9,E,1012.2,9.5
304,2021-03-02,Sahel,23.4,44.9,1.6,25,22.6,NE,1012.3,12.0
305,2021-03-02,Sud-Ouest,21.4,45.2,1.4,44,20.3,N,1019.4,11.0
306,2021-03-03,Centre,22.7,39.6,3.7,39,18.4,NE,1010.8,10.2
307,2021-03-03,Nord,24.0,44.1,0.0,31,7.8,NE,1010.6,12.0
308,2021-03-03,Est,24.6,43.2,0.2,35,11.8,N,1011.3,12.0
309,2021-03-03,Sahel,25.1,44.3,0.9,29,11.4,N,1010.6,10.3
310,2021-03-03,Sud-Ouest,23.4,40.7,0.0,50,11.9,N,1014.0,10.5
311,2021-03-04,Centre,23.6,40.7,1.5,38,19.3,NE,1012.9,10.2
312,2021-03-04,Nord,24.5,42.5,2.4,29,22.8,N,1012.1,11.4
313,2021-03-04,Est,23.6,40.2,0.6,34,20.2,E,1013.2,10.8
314,2021-03-04,Sahel,25.6,45.9,0.0,23,5.0,NE,1013.0,12.0
315,2021-03-04,Sud-Ouest,20.9,39.7,6.3,43,8.5,N,1011.5,10.1
316,2021-03-05,Centre,23.7,40.5,0.0,38,11.1,NE,1017.1,11.1
317,2021-03-05,Nord,26.0,45.0,0.0,30,10.8,E,1010.1,12.0
318,2021-03-05,Est,22.0,45.6,3.4,35,6.4,NE,1012.8,10.9
319,2021-03-05,Sahel,24.5,44.0,3.5,26,18.6,NE,1013.0,12.0
